Well,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
1,72.658445,0.0,81.558153,77.034646,0.110479,20.352712,38.431395,140.836346,62.838077,4.756741,0.0,0.119686,498.696678
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.058308,0.049102,0.049102,0.082859,30.79299,0.061377,0.049102,0.0,0.046033,31.188874
4,0.0,0.0,19.548669,23.013418,0.015344,5.94746,10.265353,39.582219,5.922909,0.064446,0.0,0.067515,104.427334
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,39.720318,0.119686,0.101273,0.13503,15.49163,120.597183,41.727356,1.043414,0.0,0.10741,219.043299
7,0.0,0.006138,1.264372,0.003069,0.0,0.0,0.0,0.0,0.012275,0.0,0.0,0.0,1.285854
8,0.0,0.0,27.408032,0.070584,0.070584,5.051352,14.116778,66.999458,12.143498,0.061377,0.0,0.05524,125.976903
9,0.0,13.656449,0.046033,0.042964,0.052171,0.049102,0.042964,9.538032,0.006138,0.0,0.0,0.0,23.433852
10,0.294611,8.35345,0.098204,0.098204,0.214821,17.391257,14.678381,63.820114,20.251439,19.788041,0.073653,0.116617,145.17879
11,0.085928,10.16408,0.070584,19.088339,3.277548,0.006138,13.822167,20.03355,13.908096,0.05524,0.0,0.052171,80.56384
12,1.331887,0.098204,0.095135,10.289904,0.073653,11.001881,22.325992,13.13781,5.40734,0.07979,0.0,0.076722,63.918317
13,16.120747,6.447685,4.673881,9.48893,0.088997,16.844999,4.256516,0.0,0.067515,0.0,0.0,0.208683,58.197953
Total,90.491618,38.726006,174.483381,139.308052,4.05397,76.829032,133.514035,505.337702,162.34602,25.898151,0.073653,0.850076,1351.911694
,,,,,,,,,,,,,
Wells 10-13,347.858900,25.7%,,,,,,,,,,,
"Wells 1,7,8",625.959435,46.3%,,,,,,,,,,,
