Section 2 - Daily Sum Mismatches
Date,Calculated_Sum,BWP_Total,Difference
2025-03-19,3.9600,3.9586,0.0014
2025-05-27,0.0000,0.0011,0.0011
2025-06-25,4.5330,4.5350,0.0020
2025-07-03,4.4420,4.4409,0.0011
2025-07-30,1.3790,1.3777,0.0013
2025-08-13,7.8000,7.7988,0.0012
2025-08-14,8.0830,8.0819,0.0011
2025-09-01,5.6260,5.6237,0.0023
2025-09-17,0.0600,0.0586,0.0014
2025-10-29,0.1960,0.1949,0.0011
