OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,0.000,0.00000,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.017,0.05217,OK
RG-20516-S-2,Buckman #4,0.000,0.00000,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,0.000,0.00000,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,15.479,47.50296,OK
RG-20516-S-9,Buckman #9,0.000,0.00000,OK
RG-20516-S-10,Buckman #10,3.987,12.23556,OK
RG-20516-S-11,Buckman #11,0.830,2.54716,OK
RG-20516-S-12,Buckman #12,0.425,1.30427,OK
RG-20516-S-13,Buckman #13,0.666,2.04386,OK
Calculated_Sum,,21.404,65.68598,
